"dimension","value","id","coder","accepted","llm"
"quality of relationships","low",1632453585110724610,1,"N","LLAMA2"
"mastery (ability, capability)","low",1632453585110724610,1,"Y","LLAMA2"
"belief in god","medium",1632453585110724610,1,"N","LLAMA2"
"perceiving discrimination","low",1632453585110724610,1,"N","LLAMA2"
"spiritual punishment","low",1632453585110724610,1,"N","LLAMA2"
"feeling having a political voice","low",1632453585110724610,1,"N","LLAMA2"
"expressing government approval","high",1632453585110724610,1,"N","LLAMA2"
"having hope","high",1632453585110724610,1,"N","LLAMA2"
"promoting good","high",1632453585110724610,1,"N","LLAMA2"
"describing health limitations","high",1632453585110724610,1,"N","LLAMA2"
"happiness","low",1628197950076686336,1,"N","LLAMA2"
"resilience","low",1628197950076686336,1,"N","LLAMA2"
"self-esteem","low",1628197950076686336,1,"N","LLAMA2"
"life satisfaction","low",1628197950076686336,1,"N","LLAMA2"
"fear of future","high",1628197950076686336,1,"N","LLAMA2"
"vitality","low",1628197950076686336,1,"N","LLAMA2"
"having energy","low",1628197950076686336,1,"N","LLAMA2"
"positive functioning","low",1628197950076686336,1,"N","LLAMA2"
"depression","high",1628197950076686336,1,"N","LLAMA2"
"anxiety","high",1628197950076686336,1,"N","LLAMA2"
"suffering","high",1628197950076686336,1,"N","LLAMA2"
"feeling pain","high",1628197950076686336,1,"N","LLAMA2"
"belonging to society","low",1628197950076686336,1,"N","LLAMA2"
"perceiving discrimination","medium",1628197950076686336,1,"N","LLAMA2"
"religious criticism","high",1628197950076686336,1,"N","LLAMA2"
"feeling having a political voice","high",1628197950076686336,1,"Y","LLAMA2"
"expressing government approval","high",1628197950076686336,1,"Y","LLAMA2"
"having hope","low",1628197950076686336,1,"N","LLAMA2"
"promoting good","low",1628197950076686336,1,"N","LLAMA2"
"happiness","high",1630360538864574465,1,"Y","LLAMA2"
"expressing job satisfaction","high",1630360538864574465,1,"Y","LLAMA2"
"expressing optimism","high",1630360538864574465,1,"Y","LLAMA2"
"positive functioning","high",1630360538864574465,1,"Y","LLAMA2"
"self-esteem","medium",1630360538864574465,1,"N","LLAMA2"
"balance in the various aspects of own life","high",1630360538864574465,1,"N","LLAMA2"
"expressing gratitude","high",1630360538864574465,1,"Y","LLAMA2"
"mastery (ability, capability)","high",1630360538864574465,1,"N","LLAMA2"
"quality of relationships","medium",1630360538864574465,1,"N","LLAMA2"
"belonging to society","medium",1630360538864574465,1,"N","LLAMA2"
"feeling loved by god","low",1630360538864574465,1,"N","LLAMA2"
"expressing empathy","high",1630360538864574465,1,"N","LLAMA2"
"describing health limitations","low",1630360538864574465,1,"N","LLAMA2"
"peace with thoughts and feelings","high",1632377664064430080,1,"Y","LLAMA2"
"resilience","medium",1632377664064430080,1,"N","LLAMA2"
"belonging to society","low",1632377664064430080,1,"Y","LLAMA2"
"balance in the various aspects of own life","high",1632377664064430080,1,"Y","LLAMA2"
"mastery (ability, capability)","high",1632377664064430080,1,"N","LLAMA2"
"financial/material worry","low",1632377664064430080,1,"N","LLAMA2"
"life after death belief","medium",1632377664064430080,1,"N","LLAMA2"
"volunteering","low",1632377664064430080,1,"N","LLAMA2"
"charitable giving/helping","low",1632377664064430080,1,"N","LLAMA2"
"seeking for forgiveness","low",1632377664064430080,1,"N","LLAMA2"
"feeling having a political voice","low",1632377664064430080,1,"N","LLAMA2"
"expressing government approval","low",1632377664064430080,1,"N","LLAMA2"
"having hope","high",1632377664064430080,1,"Y","LLAMA2"
"promoting good","medium",1632377664064430080,1,"N","LLAMA2"
"expressing delayed gratification","low",1632377664064430080,1,"N","LLAMA2"
"expressing empathy","high",1632377664064430080,1,"N","LLAMA2"
"happiness","high",1630653960884477952,1,"N","LLAMA2"
"resilience","high",1630653960884477952,1,"N","LLAMA2"
"self-esteem","high",1630653960884477952,1,"N","LLAMA2"
"life satisfaction","high",1630653960884477952,1,"Y","LLAMA2"
"fear of future","low",1630653960884477952,1,"N","LLAMA2"
"vitality","high",1630653960884477952,1,"N","LLAMA2"
"having energy","high",1630653960884477952,1,"N","LLAMA2"
"positive functioning","high",1630653960884477952,1,"Y","LLAMA2"
"expressing job satisfaction","medium",1630653960884477952,1,"N","LLAMA2"
"expressing optimism","high",1630653960884477952,1,"Y","LLAMA2"
"peace with thoughts and feelings","high",1630653960884477952,1,"N","LLAMA2"
"purpose in life","high",1630653960884477952,1,"N","LLAMA2"
"expressing altruism","high",1630653960884477952,1,"N","LLAMA2"
"feeling trusted","high",1630653960884477952,1,"N","LLAMA2"
"mastery (ability, capability)","medium",1630653960884477952,1,"N","LLAMA2"
"belief in god","high",1630653960884477952,1,"N","LLAMA2"
"religious criticism","low",1630653960884477952,1,"N","LLAMA2"
"spiritual punishment","low",1630653960884477952,1,"N","LLAMA2"
"feeling religious comfort","high",1630653960884477952,1,"N","LLAMA2"
"feeling having a political voice","high",1630653960884477952,1,"N","LLAMA2"
"promoting good","high",1630653960884477952,1,"Y","LLAMA2"
"having hope","high",1630653960884477952,1,"Y","LLAMA2"
"expressing empathy","high",1630653960884477952,1,"N","LLAMA2"
"happiness","low",1628175298251423746,1,"N","LLAMA2"
"resilience","low",1628175298251423746,1,"N","LLAMA2"
"self-esteem","low",1628175298251423746,1,"N","LLAMA2"
"life satisfaction","low",1628175298251423746,1,"N","LLAMA2"
"fear of future","high",1628175298251423746,1,"Y","LLAMA2"
"vitality","low",1628175298251423746,1,"N","LLAMA2"
"having energy","low",1628175298251423746,1,"N","LLAMA2"
"positive functioning","low",1628175298251423746,1,"N","LLAMA2"
"peace with thoughts and feelings","low",1628175298251423746,1,"N","LLAMA2"
"depression","high",1628175298251423746,1,"N","LLAMA2"
"anxiety","high",1628175298251423746,1,"Y","LLAMA2"
"suffering","high",1628175298251423746,1,"N","LLAMA2"
"feeling pain","high",1628175298251423746,1,"N","LLAMA2"
"quality of relationships","low",1628175298251423746,1,"N","LLAMA2"
"belonging to society","low",1628175298251423746,1,"N","LLAMA2"
"mastery (ability, capability)","low",1628175298251423746,1,"N","LLAMA2"
"expressing delayed gratification","high",1628175298251423746,1,"N","LLAMA2"
"feeling having a political voice","low",1628175298251423746,1,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1628175298251423746,1,"N","LLAMA2"
"describing health limitations","high",1628175298251423746,1,"N","LLAMA2"
"happiness","low",1628033335632035844,1,"N","LLAMA2"
"life satisfaction","low",1628033335632035844,1,"Y","LLAMA2"
"fear of future","high",1628033335632035844,1,"Y","LLAMA2"
"vitality","medium",1628033335632035844,1,"N","LLAMA2"
"expressing optimism","low",1628033335632035844,1,"Y","LLAMA2"
"peace with thoughts and feelings","low",1628033335632035844,1,"N","LLAMA2"
"purpose in life","low",1628033335632035844,1,"N","LLAMA2"
"anxiety","high",1628033335632035844,1,"Y","LLAMA2"
"belonging to society","low",1628033335632035844,1,"N","LLAMA2"
"expressing trust","low",1628033335632035844,1,"Y","LLAMA2"
"feeling trusted","low",1628033335632035844,1,"N","LLAMA2"
"feeling having a political voice","high",1628033335632035844,1,"Y","LLAMA2"
"having hope","low",1628033335632035844,1,"Y","LLAMA2"
"promoting good","medium",1628033335632035844,1,"N","LLAMA2"
"seeking for forgiveness","low",1628033335632035844,1,"N","LLAMA2"
"expressing empathy","high",1628033335632035844,1,"Y","LLAMA2"
"describing health limitations","low",1628033335632035844,1,"N","LLAMA2"
"resilience","low",1633919172735389697,1,"N","LLAMA2"
"positive functioning","low",1633919172735389697,1,"N","LLAMA2"
"expressing optimism","low",1633919172735389697,1,"N","LLAMA2"
"expressing altruism","low",1633919172735389697,1,"N","LLAMA2"
"loneliness","medium",1633919172735389697,1,"N","LLAMA2"
"quality of relationships","medium",1633919172735389697,1,"N","LLAMA2"
"belonging to society","low",1633919172735389697,1,"N","LLAMA2"
"expressing gratitude","low",1633919172735389697,1,"N","LLAMA2"
"expressing trust","low",1633919172735389697,1,"Y","LLAMA2"
"feeling trusted","low",1633919172735389697,1,"N","LLAMA2"
"balance in the various aspects of own life","low",1633919172735389697,1,"N","LLAMA2"
"mastery (ability, capability)","high",1633919172735389697,1,"N","LLAMA2"
"perceiving discrimination","medium",1633919172735389697,1,"N","LLAMA2"
"feeling loved by god","low",1633919172735389697,1,"N","LLAMA2"
"belief in god","low",1633919172735389697,1,"N","LLAMA2"
"religious criticism","low",1633919172735389697,1,"N","LLAMA2"
"spiritual punishment","low",1633919172735389697,1,"N","LLAMA2"
"feeling religious comfort","low",1633919172735389697,1,"N","LLAMA2"
"describing health limitations","high",1633919172735389697,1,"N","LLAMA2"
"expressing empathy","low",1633919172735389697,1,"N","LLAMA2"
"resilience","medium",1626286393386213378,1,"N","LLAMA2"
"happiness","low",1626286393386213378,1,"N","LLAMA2"
"life satisfaction","low",1626286393386213378,1,"N","LLAMA2"
"fear of future","medium",1626286393386213378,1,"Y","LLAMA2"
"quality of relationships","low",1626286393386213378,1,"N","LLAMA2"
"belonging to society","low",1626286393386213378,1,"N","LLAMA2"
"feeling trusted","low",1626286393386213378,1,"N","LLAMA2"
"having hope","high",1626286393386213378,1,"N","LLAMA2"
"feeling having a political voice","medium",1626286393386213378,1,"N","LLAMA2"
"expressing government approval","medium",1626286393386213378,1,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1626286393386213378,1,"N","LLAMA2"
"describing smoking related health issues","medium",1626286393386213378,1,"N","LLAMA2"
"describing drinking related health issues","low",1626286393386213378,1,"N","LLAMA2"
"describing health limitations","medium",1626286393386213378,1,"N","LLAMA2"
"expressing empathy","low",1626286393386213378,1,"N","LLAMA2"
"happiness","low",1630633684972740608,1,"Y","LLAMA2"
"resilience","low",1630633684972740608,1,"N","LLAMA2"
"self-esteem","low",1630633684972740608,1,"N","LLAMA2"
"life satisfaction","low",1630633684972740608,1,"Y","LLAMA2"
"fear of future","high",1630633684972740608,1,"Y","LLAMA2"
"vitality","low",1630633684972740608,1,"N","LLAMA2"
"having energy","low",1630633684972740608,1,"N","LLAMA2"
"positive functioning","low",1630633684972740608,1,"Y","LLAMA2"
"expressing job satisfaction","low",1630633684972740608,1,"N","LLAMA2"
"expressing optimism","low",1630633684972740608,1,"Y","LLAMA2"
"peace with thoughts and feelings","low",1630633684972740608,1,"N","LLAMA2"
"purpose in life","low",1630633684972740608,1,"N","LLAMA2"
"depression","high",1630633684972740608,1,"N","LLAMA2"
"anxiety","high",1630633684972740608,1,"N","LLAMA2"
"suffering","high",1630633684972740608,1,"N","LLAMA2"
"feeling pain","high",1630633684972740608,1,"N","LLAMA2"
"belonging to society","low",1630633684972740608,1,"N","LLAMA2"
"quality of relationships","low",1630633684972740608,1,"N","LLAMA2"
"perceiving discrimination","high",1630633684972740608,1,"N","LLAMA2"
"feeling loved by god","low",1630633684972740608,1,"N","LLAMA2"
"religious criticism","high",1630633684972740608,1,"N","LLAMA2"
"financial/material worry","high",1630633684972740608,1,"Y","LLAMA2"
"feeling having a political voice","low",1630633684972740608,1,"N","LLAMA2"
"expressing government approval","low",1630633684972740608,1,"N","LLAMA2"
"having hope","low",1630633684972740608,1,"Y","LLAMA2"
"ptsd (post-traumatic stress disorder)","high",1630633684972740608,1,"N","LLAMA2"
"expressing empathy","low",1630633684972740608,1,"N","LLAMA2"
"happiness","high",1632874531709677572,1,"N","LLAMA2"
"self-esteem","high",1632874531709677572,1,"N","LLAMA2"
"positive functioning","high",1632874531709677572,1,"N","LLAMA2"
"expressing job satisfaction","high",1632874531709677572,1,"Y","LLAMA2"
"expressing optimism","high",1632874531709677572,1,"Y","LLAMA2"
"promoting good","high",1632874531709677572,1,"Y","LLAMA2"
"having hope","high",1632874531709677572,1,"Y","LLAMA2"
"expressing empathy","high",1632874531709677572,1,"Y","LLAMA2"
"happiness","low",1628320844291219456,1,"N","LLAMA2"
"resilience","low",1628320844291219456,1,"N","LLAMA2"
"self-esteem","low",1628320844291219456,1,"N","LLAMA2"
"life satisfaction","low",1628320844291219456,1,"N","LLAMA2"
"fear of future","high",1628320844291219456,1,"N","LLAMA2"
"vitality","low",1628320844291219456,1,"N","LLAMA2"
"having energy","low",1628320844291219456,1,"N","LLAMA2"
"positive functioning","low",1628320844291219456,1,"Y","LLAMA2"
"expressing job satisfaction","low",1628320844291219456,1,"N","LLAMA2"
"expressing optimism","low",1628320844291219456,1,"N","LLAMA2"
"peace with thoughts and feelings","low",1628320844291219456,1,"N","LLAMA2"
"purpose in life","low",1628320844291219456,1,"N","LLAMA2"
"depression","high",1628320844291219456,1,"N","LLAMA2"
"anxiety","high",1628320844291219456,1,"N","LLAMA2"
"suffering","high",1628320844291219456,1,"N","LLAMA2"
"feeling pain","high",1628320844291219456,1,"N","LLAMA2"
"expressing altruism","low",1628320844291219456,1,"N","LLAMA2"
"loneliness","high",1628320844291219456,1,"N","LLAMA2"
"quality of relationships","low",1628320844291219456,1,"N","LLAMA2"
"belonging to society","low",1628320844291219456,1,"N","LLAMA2"
"expressing gratitude","low",1628320844291219456,1,"N","LLAMA2"
"expressing trust","low",1628320844291219456,1,"Y","LLAMA2"
"feeling trusted","low",1628320844291219456,1,"N","LLAMA2"
"balance in the various aspects of own life","low",1628320844291219456,1,"N","LLAMA2"
"mastery (ability, capability)","low",1628320844291219456,1,"N","LLAMA2"
"perceiving discrimination","high",1628320844291219456,1,"Y","LLAMA2"
"feeling loved by god","low",1628320844291219456,1,"N","LLAMA2"
"belief in god","low",1628320844291219456,1,"N","LLAMA2"
"religious criticism","high",1628320844291219456,1,"N","LLAMA2"
"spiritual punishment","high",1628320844291219456,1,"N","LLAMA2"
"feeling religious comfort","low",1628320844291219456,1,"N","LLAMA2"
"self-esteem","high",1626221586088071168,1,"Y","LLAMA2"
"happiness","high",1626221586088071168,1,"Y","LLAMA2"
"positive functioning","high",1626221586088071168,1,"Y","LLAMA2"
"expressing optimism","high",1626221586088071168,1,"Y","LLAMA2"
"balance in the various aspects of own life","high",1626221586088071168,1,"Y","LLAMA2"
"mastery (ability, capability)","high",1626221586088071168,1,"N","LLAMA2"
"feeling loved by god","high",1626221586088071168,1,"N","LLAMA2"
"belief in god","high",1626221586088071168,1,"N","LLAMA2"
"having hope","high",1626221586088071168,1,"Y","LLAMA2"
"promoting good","medium",1626221586088071168,1,"N","LLAMA2"
"expressing empathy","high",1626221586088071168,1,"N","LLAMA2"
"happiness","medium",1625932709523771392,1,"N","LLAMA2"
"life satisfaction","high",1625932709523771392,1,"N","LLAMA2"
"positive functioning","high",1625932709523771392,1,"N","LLAMA2"
"expressing optimism","high",1625932709523771392,1,"N","LLAMA2"
"purpose in life","high",1625932709523771392,1,"N","LLAMA2"
"expressing gratitude","high",1625932709523771392,1,"N","LLAMA2"
"belief in god","high",1625932709523771392,1,"N","LLAMA2"
"feeling loved by god","high",1625932709523771392,1,"N","LLAMA2"
"feeling having a political voice","low",1625932709523771392,1,"N","LLAMA2"
"expressing government approval","low",1625932709523771392,1,"N","LLAMA2"
"having hope","high",1625932709523771392,1,"N","LLAMA2"
"promoting good","high",1625932709523771392,1,"Y","LLAMA2"
"describing health limitations","high",1625932709523771392,1,"N","LLAMA2"
"expressing empathy","high",1625932709523771392,1,"Y","LLAMA2"
"happiness","low",1630870297187598336,1,"N","LLAMA2"
"resilience","low",1630870297187598336,1,"N","LLAMA2"
"self-esteem","low",1630870297187598336,1,"N","LLAMA2"
"life satisfaction","low",1630870297187598336,1,"N","LLAMA2"
"fear of future","high",1630870297187598336,1,"Y","LLAMA2"
"vitality","low",1630870297187598336,1,"N","LLAMA2"
"having energy","low",1630870297187598336,1,"N","LLAMA2"
"positive functioning","low",1630870297187598336,1,"Y","LLAMA2"
"expressing job satisfaction","low",1630870297187598336,1,"N","LLAMA2"
"expressing optimism","low",1630870297187598336,1,"Y","LLAMA2"
"peace with thoughts and feelings","low",1630870297187598336,1,"N","LLAMA2"
"purpose in life","low",1630870297187598336,1,"N","LLAMA2"
"depression","high",1630870297187598336,1,"N","LLAMA2"
"anxiety","high",1630870297187598336,1,"N","LLAMA2"
"suffering","high",1630870297187598336,1,"Y","LLAMA2"
"feeling pain","high",1630870297187598336,1,"N","LLAMA2"
"perceiving discrimination","high",1630870297187598336,1,"Y","LLAMA2"
"ptsd (post-traumatic stress disorder)","high",1630870297187598336,1,"N","LLAMA2"
"happiness","low",1632530806655819776,1,"N","LLAMA2"
"resilience","medium",1632530806655819776,1,"N","LLAMA2"
"self-esteem","medium",1632530806655819776,1,"Y","LLAMA2"
"life satisfaction","low",1632530806655819776,1,"N","LLAMA2"
"fear of future","medium",1632530806655819776,1,"N","LLAMA2"
"vitality","low",1632530806655819776,1,"N","LLAMA2"
"having energy","low",1632530806655819776,1,"N","LLAMA2"
"positive functioning","medium",1632530806655819776,1,"N","LLAMA2"
"expressing job satisfaction","low",1632530806655819776,1,"N","LLAMA2"
"expressing optimism","low",1632530806655819776,1,"N","LLAMA2"
"peace with thoughts and feelings","low",1632530806655819776,1,"N","LLAMA2"
"purpose in life","low",1632530806655819776,1,"N","LLAMA2"
"depression","high",1632530806655819776,1,"N","LLAMA2"
"anxiety","high",1632530806655819776,1,"N","LLAMA2"
"suffering","high",1632530806655819776,1,"N","LLAMA2"
"feeling pain","high",1632530806655819776,1,"N","LLAMA2"
"expressing empathy","low",1632530806655819776,1,"Y","LLAMA2"
"describing health limitations","medium",1632530806655819776,1,"N","LLAMA2"
"happiness","high",1609357317698469893,1,"Y","LLAMA2"
"life satisfaction","medium",1609357317698469893,1,"N","LLAMA2"
"positive functioning","medium",1609357317698469893,1,"N","LLAMA2"
"expressing optimism","high",1609357317698469893,1,"Y","LLAMA2"
"mastery (ability, capability)","high",1609357317698469893,1,"Y","LLAMA2"
"belonging to society","medium",1609357317698469893,1,"N","LLAMA2"
"expressing gratitude","high",1609357317698469893,1,"Y","LLAMA2"
"feeling having a political voice","high",1609357317698469893,1,"N","LLAMA2"
"having hope","high",1609357317698469893,1,"Y","LLAMA2"
"expressing government approval","medium",1609357317698469893,1,"N","LLAMA2"
"describing health limitations","high",1609357317698469893,1,"N","LLAMA2"
"expressing empathy","medium",1609357317698469893,1,"N","LLAMA2"
"happiness","low",1628824549465952256,1,"Y","LLAMA2"
"resilience","medium",1628824549465952256,1,"Y","LLAMA2"
"self-esteem","low",1628824549465952256,1,"N","LLAMA2"
"life satisfaction","low",1628824549465952256,1,"Y","LLAMA2"
"fear of future","high",1628824549465952256,1,"Y","LLAMA2"
"vitality","low",1628824549465952256,1,"N","LLAMA2"
"having energy","low",1628824549465952256,1,"N","LLAMA2"
"positive functioning","low",1628824549465952256,1,"N","LLAMA2"
"peace with thoughts and feelings","low",1628824549465952256,1,"N","LLAMA2"
"purpose in life","low",1628824549465952256,1,"N","LLAMA2"
"depression","high",1628824549465952256,1,"N","LLAMA2"
"anxiety","medium",1628824549465952256,1,"N","LLAMA2"
"suffering","high",1628824549465952256,1,"N","LLAMA2"
"feeling pain","high",1628824549465952256,1,"N","LLAMA2"
"belonging to society","low",1628824549465952256,1,"Y","LLAMA2"
"perceiving discrimination","medium",1628824549465952256,1,"N","LLAMA2"
"religious criticism","high",1628824549465952256,1,"N","LLAMA2"
"having hope","high",1628824549465952256,1,"N","LLAMA2"
"expressing government approval","medium",1628824549465952256,1,"N","LLAMA2"
"describing health limitations","high",1628824549465952256,1,"N","LLAMA2"
"expressing empathy","low",1628824549465952256,1,"N","LLAMA2"
"happiness","high",1632425890897338370,1,"N","LLAMA2"
"self-esteem","high",1632425890897338370,1,"N","LLAMA2"
"life satisfaction","high",1632425890897338370,1,"N","LLAMA2"
"expressing gratitude","high",1632425890897338370,1,"N","LLAMA2"
"feeling loved by god","high",1632425890897338370,1,"N","LLAMA2"
"belief in god","high",1632425890897338370,1,"N","LLAMA2"
"religious criticism","low",1632425890897338370,1,"N","LLAMA2"
"feeling having a political voice","high",1632425890897338370,1,"N","LLAMA2"
"expressing government approval","high",1632425890897338370,1,"N","LLAMA2"
"having hope","high",1632425890897338370,1,"N","LLAMA2"
"promoting good","high",1632425890897338370,1,"N","LLAMA2"
"expressing empathy","high",1632425890897338370,1,"N","LLAMA2"
"describing health limitations","low",1632425890897338370,1,"N","LLAMA2"
"self-esteem","high",1628988081238904833,1,"Y","LLAMA2"
"happiness","high",1628988081238904833,1,"Y","LLAMA2"
"positive functioning","high",1628988081238904833,1,"N","LLAMA2"
"expressing optimism","high",1628988081238904833,1,"Y","LLAMA2"
"feeling loved by god","high",1628988081238904833,1,"N","LLAMA2"
"belief in god","high",1628988081238904833,1,"N","LLAMA2"
"expressing gratitude","medium",1628988081238904833,1,"N","LLAMA2"
"religious criticism","low",1628988081238904833,1,"N","LLAMA2"
"spiritual punishment","low",1628988081238904833,1,"N","LLAMA2"
"feeling religious comfort","high",1628988081238904833,1,"N","LLAMA2"
"feeling having a political voice","low",1628988081238904833,1,"N","LLAMA2"
"having hope","high",1628988081238904833,1,"N","LLAMA2"
"describing health limitations","medium",1628988081238904833,1,"N","LLAMA2"
"expressing empathy","high",1628988081238904833,1,"N","LLAMA2"
"happiness","low",1632042103080378370,1,"Y","LLAMA2"
"life satisfaction","low",1632042103080378370,1,"Y","LLAMA2"
"fear of future","high",1632042103080378370,1,"Y","LLAMA2"
"vitality","low",1632042103080378370,1,"N","LLAMA2"
"expressing optimism","low",1632042103080378370,1,"Y","LLAMA2"
"peace with thoughts and feelings","low",1632042103080378370,1,"Y","LLAMA2"
"belonging to society","low",1632042103080378370,1,"Y","LLAMA2"
"expressing gratitude","low",1632042103080378370,1,"Y","LLAMA2"
"feeling trusted","low",1632042103080378370,1,"N","LLAMA2"
"mastery (ability, capability)","low",1632042103080378370,1,"N","LLAMA2"
"financial/material worry","low",1632042103080378370,1,"N","LLAMA2"
"expressing government approval","medium",1632042103080378370,1,"N","LLAMA2"
"having hope","low",1632042103080378370,1,"Y","LLAMA2"
"describing health limitations","high",1632042103080378370,1,"N","LLAMA2"
"happiness","high",1631464336580378624,1,"Y","LLAMA2"
"vitality","high",1631464336580378624,1,"Y","LLAMA2"
"expressing empathy","low",1631464336580378624,1,"N","LLAMA2"
"describing drinking related health issues","low",1631464336580378624,1,"N","LLAMA2"
"describing health limitations","low",1631464336580378624,1,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","low",1631464336580378624,1,"N","LLAMA2"
"happiness","high",1626296754688905216,1,"Y","LLAMA2"
"life satisfaction","high",1626296754688905216,1,"Y","LLAMA2"
"positive functioning","high",1626296754688905216,1,"Y","LLAMA2"
"expressing optimism","high",1626296754688905216,1,"N","LLAMA2"
"belief in god","high",1626296754688905216,1,"Y","LLAMA2"
"feeling loved by god","high",1626296754688905216,1,"Y","LLAMA2"
"religious criticism","low",1626296754688905216,1,"N","LLAMA2"
"spiritual punishment","low",1626296754688905216,1,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","medium",1626296754688905216,1,"N","LLAMA2"
"describing smoking related health issues","low",1626296754688905216,1,"N","LLAMA2"
"describing drinking related health issues","low",1626296754688905216,1,"N","LLAMA2"
"describing health limitations","low",1626296754688905216,1,"N","LLAMA2"
"expressing empathy","high",1626296754688905216,1,"N","LLAMA2"
"happiness","high",1628070995302002694,1,"Y","LLAMA2"
"resilience","high",1628070995302002694,1,"N","LLAMA2"
"self-esteem","high",1628070995302002694,1,"Y","LLAMA2"
"life satisfaction","high",1628070995302002694,1,"Y","LLAMA2"
"fear of future","low",1628070995302002694,1,"Y","LLAMA2"
"vitality","high",1628070995302002694,1,"N","LLAMA2"
"having energy","high",1628070995302002694,1,"Y","LLAMA2"
"positive functioning","high",1628070995302002694,1,"Y","LLAMA2"
"expressing optimism","high",1628070995302002694,1,"Y","LLAMA2"
"purpose in life","high",1628070995302002694,1,"Y","LLAMA2"
"expressing altruism","low",1628070995302002694,1,"N","LLAMA2"
"loneliness","medium",1628070995302002694,1,"N","LLAMA2"
"quality of relationships","medium",1628070995302002694,1,"N","LLAMA2"
"belonging to society","medium",1628070995302002694,1,"N","LLAMA2"
"expressing gratitude","high",1628070995302002694,1,"N","LLAMA2"
"expressing trust","medium",1628070995302002694,1,"N","LLAMA2"
"feeling trusted","medium",1628070995302002694,1,"N","LLAMA2"
"balance in the various aspects of own life","medium",1628070995302002694,1,"Y","LLAMA2"
"mastery (ability, capability)","high",1628070995302002694,1,"Y","LLAMA2"
"perceiving discrimination","low",1628070995302002694,1,"N","LLAMA2"
"feeling loved by god","medium",1628070995302002694,1,"N","LLAMA2"
"belief in god","medium",1628070995302002694,1,"N","LLAMA2"
"religious criticism","low",1628070995302002694,1,"N","LLAMA2"
"spiritual punishment","low",1628070995302002694,1,"N","LLAMA2"
"feeling religious comfort","medium",1628070995302002694,1,"N","LLAMA2"
"financial/material worry","low",1628070995302002694,1,"N","LLAMA2"
"life after death belief","low",1628070995302002694,1,"N","LLAMA2"
"volunteering","low",1628070995302002694,1,"N","LLAMA2"
"charitable giving/helping","low",1628070995302002694,1,"N","LLAMA2"
"seeking for forgiveness","low",1628070995302002694,1,"N","LLAMA2"
"feeling having a political voice","low",1628070995302002694,1,"N","LLAMA2"
"expressing government approval","low",1628070995302002694,1,"N","LLAMA2"
"having hope","high",1628070995302002694,1,"Y","LLAMA2"
"promoting good","high",1628070995302002694,1,"Y","LLAMA2"
"expressing delayed gratification","high",1628070995302002694,1,"N","LLAMA2"
"expressing empathy","high",1628070995302002694,1,"Y","LLAMA2"
"happiness","high",1628945385161981952,1,"Y","LLAMA2"
"vitality","high",1628945385161981952,1,"Y","LLAMA2"
"positive functioning","high",1628945385161981952,1,"Y","LLAMA2"
"expressing optimism","high",1628945385161981952,1,"Y","LLAMA2"
"belonging to society","high",1628945385161981952,1,"N","LLAMA2"
"feeling trusted","low",1628945385161981952,1,"N","LLAMA2"
"mastery (ability, capability)","low",1628945385161981952,1,"N","LLAMA2"
"feeling having a political voice","medium",1628945385161981952,1,"N","LLAMA2"
"promoting good","high",1628945385161981952,1,"Y","LLAMA2"
"expressing empathy","high",1628945385161981952,1,"N","LLAMA2"
"happiness","low",1631459368473604096,1,"Y","LLAMA2"
"resilience","medium",1631459368473604096,1,"Y","LLAMA2"
"self-esteem","medium",1631459368473604096,1,"N","LLAMA2"
"life satisfaction","low",1631459368473604096,1,"Y","LLAMA2"
"fear of future","high",1631459368473604096,1,"Y","LLAMA2"
"vitality","low",1631459368473604096,1,"N","LLAMA2"
"having energy","low",1631459368473604096,1,"N","LLAMA2"
"positive functioning","low",1631459368473604096,1,"N","LLAMA2"
"expressing job satisfaction","low",1631459368473604096,1,"N","LLAMA2"
"expressing optimism","low",1631459368473604096,1,"Y","LLAMA2"
"peace with thoughts and feelings","low",1631459368473604096,1,"N","LLAMA2"
"purpose in life","low",1631459368473604096,1,"N","LLAMA2"
"depression","high",1631459368473604096,1,"N","LLAMA2"
"anxiety","high",1631459368473604096,1,"N","LLAMA2"
"suffering","high",1631459368473604096,1,"N","LLAMA2"
"feeling pain","high",1631459368473604096,1,"N","LLAMA2"
"expressing altruism","medium",1631459368473604096,1,"Y","LLAMA2"
"expressing gratitude","high",1631459368473604096,1,"N","LLAMA2"
"feeling trusted","low",1631459368473604096,1,"N","LLAMA2"
"balance in the various aspects of own life","medium",1631459368473604096,1,"N","LLAMA2"
"mastery (ability, capability)","medium",1631459368473604096,1,"N","LLAMA2"
"ptsd (post-traumatic stress disorder)","medium",1631459368473604096,1,"N","LLAMA2"
"happiness","low",1630962235731243008,1,"Y","LLAMA2"
"resilience","low",1630962235731243008,1,"N","LLAMA2"
"self-esteem","low",1630962235731243008,1,"N","LLAMA2"
"life satisfaction","low",1630962235731243008,1,"Y","LLAMA2"
"fear of future","high",1630962235731243008,1,"N","LLAMA2"
"vitality","low",1630962235731243008,1,"N","LLAMA2"
"having energy","low",1630962235731243008,1,"N","LLAMA2"
"positive functioning","low",1630962235731243008,1,"Y","LLAMA2"
