dimension,value,confidence,id
expressing altruism,medium,0.6,1633154159586209798
happiness,low,0.7,1629044218218815490
balance in the various aspects of own life,low,0.8,1629044218218815490
vitality,high,0.9,1626146003500912643
expressing altruism,high,0.9,1626146003500912643
promoting good,high,0.9,1626146003500912643
describing health limitations,medium,0.6,1626146003500912643
happiness,high,0.9,1627365671225946116
expressing altruism,high,0.9,1627365671225946116
expressing empathy,high,0.9,1627365671225946116
mastery (ability or capability),medium,0.6,1633126205393358848
expressing altruism,medium,0.6,1627910305215807489
feeling having a political voice,high,0.9,1627910305215807489
self-esteem,low,0.7,1632720401997479936
quality of relationships,low,0.7,1632720401997479936
expressing optimism,high,0.9,1627292791532290051
having hope,high,0.9,1627292791532290051
happiness,low,0.9,1634284960822579211
mastery (ability or capability),low,0.7,1634284960822579211
expressing altruism,high,0.9,1628262061066145792
financial/material worry,high,0.9,1628262061066145792
expressing empathy,high,0.9,1628262061066145792
purpose in life,high,0.9,1630581885972652032
belief in god,high,1,1630581885972652032
life after death belief,high,0.9,1630581885972652032
perceiving discrimination,medium,0.6,1631389656846573627
self-esteem,low,0.7,1626191999308103682
quality of relationships,low,0.7,1626191999308103682
promoting good,medium,0.6,1626191999308103682
expressing empathy,high,0.9,1626191999308103682
quality of relationships,medium,0.6,1629622410348462084
describing drinking related health issues,high,0.8,1629622410348462084
depression,high,0.9,1632799189921943552
loneliness,high,0.9,1632799189921943552
promoting good,low,0.9,1632799189921943552
ptsd (post-traumatic stress disorder),high,0.8,1632799189921943552
happiness,high,0.8,1633250048820510726
expressing trust,medium,0.6,1633250048820510726
expressing empathy,high,0.9,1633250048820510726
happiness,high,0.9,1629709921322409984
quality of relationships,medium,0.6,1629709921322409984
promoting good,medium,0.6,1629709921322409984
describing drinking related health issues,low,0.3,1629709921322409984
having energy,high,0.9,1628522677034971143
expressing altruism,high,0.9,1628522677034971143
promoting good,high,0.9,1628522677034971143
purpose in life,high,0.9,1632051844414590977
expressing altruism,high,0.9,1632051844414590977
volunteering,high,0.9,1632051844414590977
expressing empathy,high,0.9,1632051844414590977
fear of future,high,0.9,1625937701320163330
expressing altruism,medium,0.6,1625937701320163330
feeling having a political voice,high,0.9,1625937701320163330
expressing empathy,high,0.8,1625937701320163330
mastery (ability or capability),low,0.9,1626911816809869313
feeling having a political voice,high,0.9,1626911816809869313
happiness,high,0.9,1630964326294073349
expressing altruism,low,0.6,1630964326294073349
promoting good,high,0.8,1630964326294073349
fear of future,high,0.9,1630113268105715714
perceiving discrimination,high,0.9,1630113268105715714
feeling having a political voice,high,0.9,1630113268105715714
ptsd (post-traumatic stress disorder),high,0.8,1630113268105715714
suffering,high,0.9,1627693074913665025
perceiving discrimination,low,0.2,1627693074913665025
feeling having a political voice,high,0.9,1627693074913665025
happiness,high,0.9,1627543794684944385
happiness,high,0.9,1626833721335709697
happiness,low,0.7,1632863664666443778
quality of relationships,low,0.7,1632863664666443778
expressing empathy,high,0.9,1632863664666443778
depression,high,0.9,1629412508779057153
expressing altruism,high,0.9,1629412508779057153
promoting good,high,0.9,1629412508779057153
describing health limitations,high,0.9,1629412508779057153
having energy,high,0.9,1626187682819760128
balance in the various aspects of own life,high,0.85,1626187682819760128
happiness,high,0.9,1631372856876474368
expressing gratitude,high,0.9,1631372856876474368
expressing delayed gratification,high,0.8,1631372856876474368
self-esteem,low,0.7,1629598344111587330
expressing altruism,low,0.6,1629598344111587330
financial/material worry,high,0.8,1629598344111587330
happiness,high,0.8,1634166396450926595
expressing altruism,medium,0.6,1634166396450926595
having hope,high,0.9,1634166396450926595
expressing empathy,high,0.9,1634166396450926595
expressing trust,low,0.6,1630555614446321665
feeling having a political voice,high,0.9,1630555614446321665
depression,low,0.6,1630629372884312066
perceiving discrimination,high,0.8,1630629372884312066
purpose in life,high,0.8,1633843146080792578
quality of relationships,high,0.8,1633843146080792578
promoting good,high,0.8,1633843146080792578
expressing empathy,high,0.8,1633843146080792578
self-esteem,low,0.7,1631662552789966848
mastery (ability or capability),low,0.9,1631662552789966848
expressing government approval,low,0.2,1631662552789966848
expressing trust,medium,0.6,1631692193072283649
having hope,medium,0.6,1631692193072283649
happiness,low,0.7,1631417242184216576
expressing trust,low,0.8,1631417242184216576
depression,low,0.6,1626013179695308800
perceiving discrimination,high,0.9,1626013179695308800
financial/material worry,high,0.9,1626013179695308800
happiness,high,0.8,1626292159178739712
expressing altruism,high,0.9,1626292159178739712
expressing empathy,high,0.9,1626292159178739712
happiness,high,0.7,1634254300741345280
self-esteem,high,0.8,1629215331444215808
balance in the various aspects of own life,high,0.8,1629215331444215808
promoting good,medium,0.6,1629215331444215808
expressing empathy,high,0.9,1629215331444215808
fear of future,medium,0.6,1633132138903007235
belonging to society,medium,0.6,1633132138903007235
financial/material worry,high,0.9,1633132138903007235
resilience,high,0.8,1632837478615744513
expressing altruism,high,0.9,1632837478615744513
promoting good,high,0.9,1632837478615744513
expressing empathy,high,0.9,1632837478615744513
having energy,low,0.9,1631424472191475713
expressing altruism,medium,0.6,1631424472191475713
having hope,medium,0.6,1631424472191475713
expressing empathy,high,0.9,1631424472191475713
anxiety,medium,0.6,1631157296326639616
balance in the various aspects of own life,medium,0.6,1631157296326639616
describing drinking related health issues,medium,0.6,1631157296326639616
happiness,high,0.9,1628308388399423488
expressing altruism,high,0.9,1628308388399423488
promoting good,high,0.9,1628308388399423488
expressing empathy,high,0.9,1628308388399423488
fear of future,high,0.8,1629730455313342464
perceiving discrimination,high,0.8,1629730455313342464
feeling having a political voice,high,0.9,1629730455313342464
anxiety,high,0.9,1631300025488646146
expressing trust,low,0.85,1631300025488646146
financial/material worry,high,0.9,1631300025488646146
fear of future,high,0.9,1627385961675100160
expressing altruism,low,0.7,1627385961675100160
financial/material worry,high,0.9,1627385961675100160
feeling having a political voice,high,0.8,1630545313487282178
happiness,high,0.8,1626755308788805632
quality of relationships,high,0.9,1626755308788805632
promoting good,medium,0.6,1626755308788805632
expressing empathy,high,0.9,1626755308788805632
quality of relationships,medium,0.6,1629053618921041921
mastery (ability or capability),medium,0.6,1628100220499132438
happiness,high,0.9,1629922602100707332
expressing gratitude,high,0.9,1629922602100707332
anxiety,high,0.9,1630998167624794114
expressing altruism,high,0.9,1630998167624794114
having hope,high,0.9,1630998167624794114
expressing empathy,high,0.9,1630998167624794114
happiness,high,0.8,1630533206847127554
expressing altruism,high,0.9,1630533206847127554
promoting good,high,0.8,1630533206847127554
expressing empathy,high,0.9,1630533206847127554
happiness,high,0.9,1629555863240179712
belonging to society,high,0.9,1629555863240179712
promoting good,high,0.9,1629555863240179712
happiness,high,0.9,1632738616039317505
expressing gratitude,high,0.9,1632738616039317505
happiness,medium,0.6,1630250995220619265
expressing empathy,medium,0.6,1630250995220619265
happiness,high,0.9,1632065528201134081
expressing altruism,high,0.9,1632065528201134081
charitable giving/helping,high,0.9,1632065528201134081
expressing empathy,high,0.95,1632065528201134081
happiness,high,0.8,1631876072273764352
self-esteem,low,0.7,1627651430147588097
quality of relationships,medium,0.6,1627651430147588097
describing drinking related health issues,medium,0.6,1627651430147588097
expressing gratitude,high,0.9,1630144373676466177
perceiving discrimination,high,0.8,1625739563892199424
feeling having a political voice,high,0.9,1625739563892199424
perceiving discrimination,medium,0.6,1627729697072381952
describing health limitations,medium,0.6,1631480059650523136
perceiving discrimination,medium,0.6,1625653256557940738
perceiving discrimination,medium,0.6,1627795503252656128
expressing optimism,medium,0.6,1633868504414957568
expressing trust,medium,0.6,1633868504414957568
promoting good,medium,0.6,1633868504414957568
expressing empathy,high,0.9,1633868504414957568
having energy,high,0.8,1626139608697241601
expressing altruism,high,0.9,1626139608697241601
promoting good,high,0.9,1626139608697241601
expressing optimism,high,0.9,1626187373510893569
expressing altruism,high,0.9,1626187373510893569
promoting good,high,0.9,1626187373510893569
expressing empathy,high,0.95,1626187373510893569
feeling pain,high,0.9,1631148230884089856
expressing altruism,medium,0.6,1631148230884089856
having hope,high,0.9,1631148230884089856
describing health limitations,high,0.9,1631148230884089856
having hope,high,0.9,1629403804981424128
expressing empathy,medium,0.6,1629870525815087104
depression,medium,0.6,1627839043462479872
quality of relationships,low,0.7,1627839043462479872
feeling having a political voice,high,0.9,1627839043462479872
feeling having a political voice,high,0.9,1632033512554475520
happiness,high,0.9,1627397168276594689
expressing gratitude,high,0.9,1627397168276594689
promoting good,high,0.9,1627397168276594689
expressing empathy,high,0.9,1627397168276594689
expressing altruism,high,0.9,1628165227685777413
promoting good,high,0.9,1628165227685777413
mastery (ability or capability),medium,0.6,1626682999822602240
feeling having a political voice,medium,0.6,1626682999822602240
purpose in life,high,0.9,1630654600083546122
expressing altruism,low,0.2,1630654600083546122
promoting good,high,0.9,1630654600083546122
happiness,medium,0.6,1630032392680243200
belief in god,high,0.9,1630032392680243200
promoting good,high,0.9,1630032392680243200
describing health limitations,medium,0.6,1630032392680243200
financial/material worry,low,0.1,1625981383725154304
self-esteem,low,0.7,1625966872171618305
perceiving discrimination,high,0.9,1625966872171618305
feeling having a political voice,high,0.9,1625966872171618305
happiness,high,0.9,1631800641294041091
quality of relationships,high,0.9,1631800641294041091
expressing trust,low,0.9,1631773217902788609
depression,medium,0.6,1630035571207966720
loneliness,medium,0.6,1630035571207966720
describing drinking related health issues,low,0.6,1630035571207966720
self-esteem,high,0.8,1627008316755812353
expressing altruism,high,0.9,1627008316755812353
promoting good,high,0.9,1627008316755812353
happiness,high,0.9,1628668069114527745
promoting good,high,0.9,1628668069114527745
fear of future,high,0.9,1625854922339291138
belonging to society,high,0.9,1625854922339291138
feeling having a political voice,high,0.9,1625854922339291138
purpose in life,high,0.9,1627375771604975617
expressing altruism,high,0.9,1627375771604975617
volunteering,high,1,1627375771604975617
perceiving discrimination,high,0.8,1631861202803458048
feeling having a political voice,high,0.9,1631861202803458048
happiness,high,0.9,1626444759400169477
expressing gratitude,high,0.9,1626444759400169477
having hope,medium,0.6,1626444759400169477
expressing empathy,high,0.9,1626444759400169477
feeling having a political voice,high,0.9,1631508491516145665
happiness,high,0.9,1630027632162279424
expressing altruism,low,0.2,1630027632162279424
life after death belief,high,0.9,1630027632162279424
expressing empathy,high,0.9,1630027632162279424
happiness,medium,0.6,1629765218510184448
fear of future,high,0.9,1626517522425200641
religious criticism,low,0.2,1626517522425200641
feeling having a political voice,high,0.8,1626517522425200641
happiness,high,0.9,1625830732798078976
expressing gratitude,high,0.9,1625830732798078976
promoting good,high,0.8,1625830732798078976
expressing empathy,high,0.9,1625830732798078976
vitality,high,0.9,1627945614536282112
expressing altruism,high,0.9,1627945614536282112
promoting good,high,0.9,1627945614536282112
anxiety,medium,0.6,1633788191969886208
perceiving discrimination,medium,0.6,1633788191969886208
describing smoking related health issues,high,0.9,1633788191969886208
happiness,medium,0.6,1627051273949413377
expressing optimism,high,0.8,1631292455927644162
financial/material worry,high,0.8,1625834366642552832
expressing trust,low,0.6,1626830346787651586
feeling having a political voice,high,0.9,1626830346787651586
resilience,high,0.8,1632496026925043712
anxiety,high,0.8,1631687819675734018
religious criticism,high,0.9,1631687819675734018
financial/material worry,high,0.8,1631687819675734018
depression,high,0.8,1632157378207514629
loneliness,high,0.7,1632157378207514629
expressing optimism,high,0.8,1633030345644703744
expressing empathy,high,0.9,1633030345644703744
happiness,low,0.8,1631919953615147009
expressing trust,low,0.9,1631919953615147009
financial/material worry,high,0.8,1631919953615147009
depression,high,0.8,1631722699746680858
financial/material worry,high,0.7,1631722699746680858
describing health limitations,high,0.9,1631722699746680858
expressing optimism,high,0.8,1632691270392107013
having hope,high,0.8,1632691270392107013
expressing optimism,high,0.9,1631269644714618882
expressing trust,high,0.9,1631269644714618882
feeling having a political voice,high,0.9,1631269644714618882
resilience,medium,0.7,1627906514106318849
loneliness,high,0.9,1627906514106318849
promoting good,high,0.9,1627906514106318849
ptsd (post-traumatic stress disorder),high,0.8,1627906514106318849
feeling pain,high,0.9,1627720840308457479
mastery (ability or capability),medium,0.6,1627720840308457479
describing health limitations,high,0.9,1627720840308457479
depression,high,0.7,1632042103080378370
expressing optimism,high,0.9,1632531859237224448
expressing altruism,medium,0.6,1632531859237224448
having hope,high,0.9,1632531859237224448
expressing empathy,high,0.9,1632531859237224448
financial/material worry,low,0.1,1629049955309481984
expressing altruism,high,0.9,1631568888805707776
belief in god,high,0.9,1627918549288120321
having hope,high,0.8,1627918549288120321
expressing empathy,high,0.9,1627918549288120321
feeling having a political voice,high,0.9,1632209852838866945
happiness,high,0.9,1629842871279820802
expressing altruism,high,0.9,1629842871279820802
expressing empathy,high,0.9,1629842871279820802
mastery (ability or capability),high,0.9,1630663848406712320
feeling having a political voice,high,0.9,1628477704587583489
suffering,high,0.9,1626817981681479680
balance in the various aspects of own life,low,0.7,1626817981681479680
financial/material worry,low,0.1,1626817981681479680
describing health limitations,high,0.9,1626817981681479680
belief in god,high,0.9,1629010081948880896
having hope,high,0.8,1629010081948880896
expressing empathy,high,0.9,1629010081948880896
expressing altruism,high,0.9,1630830725782962176
charitable giving/helping,high,0.9,1630830725782962176
expressing empathy,high,0.9,1630830725782962176
expressing optimism,medium,0.6,1632426499281231873
expressing trust,medium,0.6,1632426499281231873
having hope,high,0.9,1632426499281231873
expressing empathy,high,0.8,1632426499281231873
resilience,low,0.7,1629963162194784266
expressing trust,low,0.9,1629963162194784266
feeling having a political voice,high,0.9,1629963162194784266
resilience,high,0.8,1633950818847059968
quality of relationships,low,0.7,1633950818847059968
financial/material worry,low,0.2,1633950818847059968
feeling pain,high,0.9,1634244235896528896
expressing empathy,high,0.8,1634244235896528896
happiness,high,0.9,1626038100068556800
expressing gratitude,high,0.8,1626038100068556800
promoting good,high,0.8,1626038100068556800
happiness,high,0.9,1628801954217353216
expressing altruism,low,0.2,1628801954217353216
having hope,high,0.9,1628801954217353216
happiness,high,1,1627542779399208961
expressing altruism,low,0.2,1627542779399208961
promoting good,high,0.9,1627542779399208961
suffering,high,0.9,1630581075323015169
expressing altruism,medium,0.6,1630581075323015169
feeling having a political voice,high,0.9,1630581075323015169
expressing empathy,high,0.9,1630581075323015169
happiness,high,0.9,1626719323296514049
quality of relationships,high,0.9,1626719323296514049
having hope,high,0.9,1626719323296514049
expressing empathy,high,0.9,1626719323296514049
happiness,medium,0.6,1631451313576857607
expressing altruism,medium,0.6,1631451313576857607
having hope,high,0.9,1631451313576857607
expressing empathy,high,0.9,1631451313576857607
expressing empathy,high,0.8,1629098231769735168
happiness,medium,0.6,1629819503180652544
balance in the various aspects of own life,high,0.8,1629819503180652544
having hope,high,0.9,1629819503180652544
expressing empathy,high,0.8,1629819503180652544
self-esteem,high,0.8,1632598091147927553
mastery (ability or capability),high,0.85,1632598091147927553
financial/material worry,low,0.2,1632598091147927553
happiness,high,0.9,1633242859347533825
expressing gratitude,high,0.9,1633242859347533825
expressing empathy,medium,0.5,1628643475016110082
financial/material worry,low,0.1,1627332185978961920
self-esteem,high,0.8,1627284823864737792
mastery (ability or capability),high,0.9,1627284823864737792
resilience,low,0.7,1633181241636802560
balance in the various aspects of own life,low,0.9,1633181241636802560
financial/material worry,high,0.9,1633181241636802560
ptsd (post-traumatic stress disorder),medium,0.6,1633181241636802560
happiness,high,0.9,1632626042165919744
expressing altruism,high,0.9,1632626042165919744
promoting good,high,0.9,1632626042165919744
expressing empathy,high,0.9,1632626042165919744
feeling having a political voice,high,0.8,1630632761022136325
happiness,high,0.9,1626372146741055489
expressing altruism,high,0.9,1626372146741055489
having hope,high,0.9,1626372146741055489
resilience,high,0.7,1630196703147040768
quality of relationships,low,0.7,1630196703147040768
happiness,low,0.9,1632761977532448769
mastery (ability or capability),low,0.9,1632761977532448769
describing drinking related health issues,high,0.9,1632761977532448769
happiness,high,0.9,1627109172163788801
expressing gratitude,high,0.9,1627109172163788801
promoting good,high,0.9,1627109172163788801
happiness,high,0.9,1629927726395056130
happiness,high,0.9,1629650058789416960
expressing gratitude,high,0.9,1629650058789416960
promoting good,high,0.8,1629650058789416960
happiness,high,0.9,1629926344099348483
expressing gratitude,high,0.8,1629926344099348483
having hope,high,0.8,1629926344099348483
happiness,high,0.9,1630667423203602433
expressing gratitude,high,0.9,1630667423203602433
having hope,high,0.9,1630667423203602433
belonging to society,high,0.9,1626347251172839426
happiness,high,0.9,1631816550960312322
belonging to society,high,0.8,1631816550960312322
promoting good,high,0.8,1631816550960312322
happiness,high,0.9,1626890600493580288
expressing gratitude,high,0.9,1626890600493580288
financial/material worry,low,0.1,1626890600493580288
self-esteem,medium,0.6,1609367356060454913
expressing gratitude,high,0.9,1609367356060454913
promoting good,high,0.9,1609367356060454913
expressing altruism,high,0.9,1629269011316846594
promoting good,high,0.9,1629269011316846594
financial/material worry,low,0.2,1631875382893858818
expressing gratitude,high,0.9,1630106597111332870
happiness,high,1,1630085890956750849
quality of relationships,high,1,1630085890956750849
promoting good,high,0.9,1630085890956750849
expressing empathy,high,0.9,1630085890956750849
mastery (ability or capability),medium,0.6,1627364952070578178
happiness,high,1,1632414825191022595
balance in the various aspects of own life,high,0.8,1632414825191022595
promoting good,high,0.9,1632414825191022595
expressing optimism,high,0.9,1628841940333563904
expressing trust,low,0.6,1630953630084759557
feeling having a political voice,medium,0.6,1630953630084759557
happiness,high,0.9,1628253821850853376
expressing altruism,high,0.9,1628253821850853376
promoting good,high,0.9,1628253821850853376
expressing empathy,high,0.9,1628253821850853376
anxiety,high,0.8,1625774723517874176
quality of relationships,low,0.8,1625774723517874176
balance in the various aspects of own life,medium,0.6,1625777632720699393
happiness,high,0.8,1627334724552388609
expressing trust,high,0.9,1627334724552388609
expressing trust,medium,0.6,1631841252718043137
expressing empathy,high,0.9,1626613436644982784
having energy,high,0.8,1632437859394404352
expressing altruism,high,0.9,1632437859394404352
promoting good,high,0.9,1632437859394404352
expressing empathy,high,0.9,1632437859394404352
financial/material worry,low,0.1,1628787585597206528
depression,medium,0.6,1629869375002931206
perceiving discrimination,high,0.9,1629869375002931206
feeling having a political voice,high,0.9,1629869375002931206
happiness,high,0.9,1625856250570240002
having hope,high,0.8,1625856250570240002
happiness,high,0.9,1627319521894621184
balance in the various aspects of own life,high,0.9,1627319521894621184
having hope,high,0.9,1627319521894621184
expressing empathy,low,0.2,1627319521894621184
self-esteem,high,0.9,1627966741455273990
mastery (ability or capability),high,0.9,1627966741455273990
expressing empathy,high,0.9,1627966741455273990
happiness,high,0.9,1633670799142924288
expressing gratitude,high,0.9,1633670799142924288
perceiving discrimination,high,0.9,1629862887517745154
happiness,low,0.7,1629429576987451392
perceiving discrimination,high,0.8,1629429576987451392
feeling having a political voice,high,0.9,1629429576987451392
resilience,high,0.8,1627229224070176768
loneliness,high,0.8,1627229224070176768
having hope,medium,0.6,1627229224070176768
expressing job satisfaction,high,0.9,1631018780770877441
expressing gratitude,high,0.9,1631018780770877441
expressing government approval,high,0.8,1631018780770877441
anxiety,high,0.8,1627292422517452800
expressing altruism,low,0.6,1627292422517452800
expressing empathy,high,0.9,1627292422517452800
resilience,medium,0.6,1630352745864794112
expressing trust,low,0.7,1630352745864794112
promoting good,high,0.9,1630352745864794112
expressing empathy,high,0.9,1630352745864794112
happiness,high,0.9,1628806409776414720
expressing altruism,high,0.9,1628806409776414720
promoting good,high,0.9,1628806409776414720
expressing empathy,high,0.9,1628806409776414720
religious criticism,high,0.9,1627328751259291651
feeling having a political voice,high,0.9,1627328751259291651
happiness,high,0.9,1628984531653894148
expressing trust,medium,0.6,1628984531653894148
having hope,high,0.8,1628984531653894148
belonging to society,high,0.9,1632057845729619968
resilience,high,0.8,1632591361957298177
quality of relationships,high,0.8,1632591361957298177
having hope,high,0.8,1632591361957298177
resilience,high,0.7,1629521694476980224
perceiving discrimination,medium,0.6,1629521694476980224
feeling having a political voice,high,0.9,1629521694476980224
fear of future,high,0.9,1631921510448332800
loneliness,high,0.8,1631921510448332800
financial/material worry,high,0.9,1631921510448332800
ptsd (post-traumatic stress disorder),high,0.8,1631921510448332800
happiness,high,0.9,1628160881170448384
expressing gratitude,high,0.9,1628160881170448384
expressing empathy,high,0.9,1628160881170448384
anxiety,medium,0.6,1625650032375640064
quality of relationships,low,0.6,1625650032375640064
ptsd (post-traumatic stress disorder),medium,0.6,1625650032375640064
depression,high,0.8,1628127220387483670
loneliness,high,0.8,1628127220387483670
feeling having a political voice,medium,0.6,1631573717972123649
happiness,high,0.9,1629189703923814402
expressing altruism,high,0.9,1629189703923814402
having hope,high,0.9,1629189703923814402
expressing empathy,high,0.9,1629189703923814402
fear of future,high,0.9,1629026866420916226
expressing altruism,high,0.9,1629026866420916226
feeling having a political voice,high,0.9,1629026866420916226
expressing empathy,high,0.9,1629026866420916226
anxiety,high,0.8,1631299260669935616
expressing trust,low,0.9,1631299260669935616
financial/material worry,high,0.9,1631299260669935616
happiness,high,0.9,1630194100002516995
expressing altruism,high,0.9,1630194100002516995
having hope,high,0.9,1630194100002516995
expressing empathy,high,0.9,1630194100002516995
happiness,high,0.9,1629486437992366087
happiness,high,0.9,1629863961700225026
feeling religious comfort,high,0.9,1629863961700225026
life after death belief,high,0.9,1629863961700225026
happiness,high,0.8,1630368320917569538
belonging to society,medium,0.6,1630368320917569538
expressing optimism,high,0.9,1630762347617988608
expressing altruism,high,0.9,1630762347617988608
having hope,high,0.9,1630762347617988608
expressing empathy,high,0.9,1630762347617988608
happiness,medium,0.6,1632626108821823490
mastery (ability or capability),medium,0.6,1632626108821823490
happiness,high,0.8,1626675512943730696
expressing optimism,high,0.9,1626972479569776640
having hope,high,0.9,1626972479569776640
happiness,high,0.9,1631033719371726851
quality of relationships,high,0.9,1631033719371726851
promoting good,high,0.9,1631033719371726851
perceiving discrimination,medium,0.6,1629886110322024448
feeling having a political voice,high,0.8,1629886110322024448
expressing optimism,low,0.6,1628763802471743488
having hope,low,0.7,1628763802471743488
happiness,high,0.9,1629188151964225536
expressing gratitude,high,0.9,1629188151964225536
expressing optimism,medium,0.6,1626968216873345031
feeling religious comfort,high,0.9,1626968216873345031
life after death belief,high,0.9,1626968216873345031
expressing empathy,high,0.9,1626968216873345031
happiness,high,0.9,1632760641873145858
expressing altruism,low,0.6,1632760641873145858
expressing empathy,high,0.9,1632760641873145858
happiness,high,0.9,1626291970003050496
expressing gratitude,high,0.9,1626291970003050496
happiness,high,0.8,1628149582516420609
expressing gratitude,high,0.9,1628149582516420609
feeling having a political voice,high,0.9,1628149582516420609
expressing empathy,high,0.9,1628149582516420609
purpose in life,medium,0.6,1630943295118401537
expressing altruism,high,0.9,1630943295118401537
charitable giving/helping,high,0.9,1630943295118401537
expressing empathy,high,0.9,1630943295118401537
depression,high,0.8,1632726038751985666
loneliness,high,0.8,1632726038751985666
financial/material worry,high,0.9,1632726038751985666
expressing altruism,low,0.7,1625663685082419201
promoting good,medium,0.6,1625663685082419201
happiness,high,0.8,1632451794633920512
balance in the various aspects of own life,high,0.9,1632451794633920512
promoting good,high,0.9,1632451794633920512
describing health limitations,low,0.2,1632451794633920512
happiness,high,0.9,1632187098861121538
expressing gratitude,high,0.9,1632187098861121538
expressing empathy,high,0.9,1632187098861121538
self-esteem,low,0.7,1626032512521707521
expressing trust,medium,0.6,1626032512521707521
having hope,high,0.8,1626032512521707521
self-esteem,high,0.9,1631678082431033344
mastery (ability or capability),high,0.9,1631678082431033344
having hope,high,0.9,1631678082431033344
expressing empathy,high,0.9,1631678082431033344
self-esteem,medium,0.6,1628095066685206528
expressing trust,medium,0.6,1628095066685206528
having hope,high,0.8,1628095066685206528
expressing empathy,high,0.9,1628095066685206528
depression,low,0.6,1630633345888469021
perceiving discrimination,high,0.9,1630633345888469021
feeling having a political voice,high,0.9,1630633345888469021
fear of future,high,0.8,1629054960666128385
expressing trust,low,0.9,1629054960666128385
financial/material worry,low,0.1,1629054960666128385
happiness,high,0.9,1631374064110411792
quality of relationships,medium,0.6,1631374064110411792
happiness,high,0.8,1625943273779957770
expressing gratitude,high,0.9,1625943273779957770
promoting good,high,0.9,1625943273779957770
expressing empathy,high,0.9,1625943273779957770
happiness,high,0.9,1631082584120913920
expressing gratitude,high,0.9,1631082584120913920
expressing empathy,high,0.9,1631082584120913920
perceiving discrimination,high,0.85,1632040678250225669
purpose in life,high,0.8,1629209623503986688
expressing altruism,medium,0.6,1629209623503986688
expressing altruism,high,0.9,1631992717260759041
having hope,high,0.9,1631992717260759041
expressing empathy,high,0.9,1631992717260759041
fear of future,high,0.9,1629540827914465281
belief in god,high,1,1629540827914465281
feeling having a political voice,high,0.9,1629540827914465281
expressing empathy,high,0.9,1629540827914465281
self-esteem,low,0.7,1630799291882020865
expressing altruism,low,0.9,1630799291882020865
charitable giving/helping,low,0.9,1630799291882020865
expressing altruism,high,0.9,1630774405654630402
volunteering,high,1,1630774405654630402
expressing empathy,high,0.9,1630774405654630402
happiness,low,0.7,1626597367016484872
perceiving discrimination,medium,0.6,1626597367016484872
self-esteem,high,0.7,1632117221089484800
loneliness,medium,0.6,1632117221089484800
happiness,high,0.8,1631069519681822721
expressing gratitude,high,0.9,1631069519681822721
expressing empathy,high,0.9,1631069519681822721
expressing job satisfaction,high,0.8,1627649649623416835
belonging to society,high,0.9,1627649649623416835
self-esteem,low,0.7,1631309973035667460
happiness,high,0.9,1625876771966005249
expressing gratitude,high,0.9,1625876771966005249
feeling having a political voice,high,0.9,1632167748171169792
anxiety,high,0.8,1629220458380894263
expressing trust,low,0.9,1629220458380894263
financial/material worry,high,0.9,1629220458380894263
depression,high,0.9,1633827813689266179
loneliness,high,0.9,1633827813689266179
having hope,low,0.9,1633827813689266179
ptsd (post-traumatic stress disorder),high,0.7,1633827813689266179
resilience,high,0.9,1630030873033572359
loneliness,high,0.9,1630030873033572359
financial/material worry,low,0.1,1630030873033572359
describing health limitations,high,0.9,1630030873033572359
quality of relationships,low,0.7,1634109803931873280
purpose in life,high,0.9,1629403331545235456
belonging to society,high,0.9,1629403331545235456
feeling having a political voice,high,0.9,1629403331545235456
happiness,low,0.7,1633895838626856961
expressing altruism,high,0.9,1633895838626856961
life after death belief,high,0.9,1633895838626856961
expressing empathy,high,0.95,1633895838626856961
self-esteem,medium,0.6,1628660785923895296
quality of relationships,low,0.6,1628660785923895296
happiness,high,0.8,1629480755377369088
expressing altruism,high,0.9,1629480755377369088
promoting good,high,0.9,1629480755377369088
depression,high,0.8,1627340010797113346
perceiving discrimination,high,0.8,1627340010797113346
self-esteem,high,0.7,1628390818343186432
expressing altruism,medium,0.6,1628390818343186432
promoting good,high,0.9,1628390818343186432
expressing empathy,high,0.9,1628390818343186432
purpose in life,high,0.9,1632107028574527488
belonging to society,high,0.9,1632107028574527488
financial/material worry,low,0.1,1632107028574527488
happiness,high,0.9,1628871159537098757
belonging to society,high,0.8,1628871159537098757
fear of future,high,0.8,1630368381806182403
belonging to society,high,0.9,1630368381806182403
financial/material worry,high,0.9,1630368381806182403
self-esteem,low,0.7,1625998262087073792
balance in the various aspects of own life,high,0.9,1625998262087073792
promoting good,medium,0.6,1625998262087073792
expressing empathy,high,0.9,1625998262087073792
financial/material worry,high,0.8,1633893387274207239
quality of relationships,low,0.7,1633212990072733703
perceiving discrimination,high,0.9,1626048612143865856
feeling having a political voice,high,0.9,1626048612143865856
belief in god,high,0.9,1632974552094367744
life after death belief,high,0.9,1632974552094367744
happiness,high,1,1629636733603069956
expressing gratitude,high,0.9,1629636733603069956
having hope,high,0.9,1629636733603069956
suffering,high,0.9,1631557237360435200
belief in god,high,0.9,1631557237360435200
feeling having a political voice,high,0.9,1631557237360435200
happiness,medium,0.6,1632297317070958598
feeling loved by god,high,0.9,1632297317070958598
promoting good,high,0.9,1632297317070958598
expressing empathy,high,0.9,1632297317070958598
happiness,medium,0.6,1630121000112119809
expressing altruism,medium,0.6,1630121000112119809
expressing empathy,high,0.9,1630121000112119809
expressing trust,low,0.7,1634320801921998849
